Customer_ID,Name,Age,Gender,City,Product,Price,Quantity,Payment_Mode,Purchase_Date
1,Chetan,,Male,Chennai,Laptop,45042,3,UPI,08-07-2023
2,Bala,,Female,Hyderabad,Tablet,16621,5,Cash,20-12-2023
3,Jaya,,Female,Hyderabad,Laptop,30794,1,Card,04-07-2023
4,Hari,,Male,Hyderabad,Laptop,49912,2,Cash,29-06-2023
5,Isha,45,Male,Kochi,Tablet,20258,2,Cash,08-10-2023
6,Farhan,,Male,Kochi,Camera,25157,1,Cash,09-01-2023
7,Arun,,Male,Trivandrum,Camera,18287,1,Cash,04-02-2023
8,Isha,,Female,Bangalore,Laptop,49675,5,UPI,25-05-2023
9,Divya,43,Male,Chennai,Headphones,5485,3,Card,08-12-2023
10,Chetan,,Male,Bangalore,Camera,25442,4,Card,24-12-2023
11,Gopi,,Female,Bangalore,Laptop,12669,3,Cash,30-08-2023
12,Arun,23,Male,Bangalore,Tablet,5233,1,Cash,28-07-2023
13,Arun,,Female,Kochi,Headphones,23958,5,Cash,07-04-2023
14,Isha,25,Male,Hyderabad,Headphones,5112,3,UPI,21-11-2023
15,Bala,,Male,Kochi,Camera,42843,1,Card,13-11-2023
16,Gopi,,Male,Chennai,Tablet,12415,5,UPI,21-01-2023
17,Jaya,,Female,Bangalore,Mobile,44114,3,UPI,20-02-2023
18,Esha,60,Female,Bangalore,Camera,5617,2,Cash,30-12-2023
19,Esha,,Male,Trivandrum,Camera,27198,3,Cash,04-04-2023
20,Farhan,,Male,Kochi,Headphones,41910,1,UPI,25-11-2023
21,Farhan,41,Female,Bangalore,Mobile,30531,5,Cash,14-11-2023
22,Esha,34,Male,Kochi,Laptop,16418,2,Card,22-05-2023
23,Farhan,55,Female,Hyderabad,Tablet,42936,3,Card,01-02-2023
24,Hari,,Female,Trivandrum,Laptop,13315,4,UPI,06-01-2023
25,Arun,35,Female,Chennai,Headphones,45381,4,UPI,22-08-2023
26,Arun,,Male,Bangalore,Headphones,8056,5,UPI,18-08-2023
27,Hari,20,Male,Trivandrum,Tablet,5110,2,Cash,25-09-2023
28,Arun,48,Male,Bangalore,Tablet,11152,1,Cash,11-10-2023
29,Gopi,59,Male,Bangalore,Mobile,37959,3,UPI,18-07-2023
30,Bala,,Female,Trivandrum,Mobile,21779,2,Card,16-09-2023
31,Divya,21,Male,Chennai,Mobile,1663,2,Card,03-04-2023
32,Jaya,,Male,Trivandrum,Headphones,4635,4,UPI,05-09-2023
33,Hari,30,Female,Chennai,Camera,32828,4,UPI,13-02-2023
34,Chetan,,Female,Bangalore,Tablet,34752,4,Card,03-11-2023
35,Hari,,Female,Trivandrum,Laptop,14127,5,Cash,14-05-2023
36,Farhan,,Female,Kochi,Laptop,38922,4,Cash,21-04-2023
37,Esha,42,Female,Kochi,Tablet,37986,5,UPI,11-09-2023
38,Farhan,,Female,Chennai,Laptop,40694,5,UPI,15-12-2023
39,Divya,52,Male,Trivandrum,Tablet,30124,1,Card,05-10-2023
40,Bala,50,Male,Kochi,Laptop,10069,1,Card,04-01-2023
41,Divya,,Male,Kochi,Tablet,15878,5,UPI,02-12-2023
42,Hari,,Female,Chennai,Camera,11661,2,Cash,22-02-2023
43,Esha,,Male,Hyderabad,Camera,43358,2,Cash,29-12-2023
44,Arun,32,Female,Hyderabad,Tablet,13352,5,Card,20-01-2023
45,Isha,29,Female,Bangalore,Headphones,578,4,UPI,06-10-2023
46,Hari,21,Male,Hyderabad,Laptop,19005,2,Card,27-07-2023
47,Farhan,,Male,Hyderabad,Headphones,48551,3,Cash,08-02-2023
48,Bala,,Female,Kochi,Headphones,21462,5,Cash,27-02-2023
49,Divya,21,Female,Chennai,Camera,40418,2,UPI,21-01-2023
50,Farhan,56,Male,Kochi,Headphones,37486,4,Card,14-04-2023
51,Hari,32,Male,Hyderabad,Camera,9014,4,UPI,31-08-2023
52,Bala,23,Female,Trivandrum,Tablet,37375,3,UPI,07-11-2023
53,Chetan,,Male,Trivandrum,Tablet,25349,4,UPI,24-02-2023
54,Chetan,,Female,Trivandrum,Headphones,24362,2,Cash,06-11-2023
55,Esha,57,Male,Chennai,Camera,25724,2,UPI,02-06-2023
56,Chetan,,Female,Kochi,Laptop,40500,2,UPI,01-11-2023
57,Gopi,,Male,Kochi,Camera,24035,2,Card,20-11-2023
58,Hari,60,Female,Bangalore,Headphones,45281,2,Cash,12-02-2023
59,Bala,35,Male,Trivandrum,Headphones,43389,1,UPI,12-01-2023
60,Hari,,Male,Chennai,Laptop,2300,5,Card,23-04-2023
61,Chetan,,Female,Kochi,Camera,35654,3,Cash,07-07-2023
62,Farhan,41,Male,Hyderabad,Laptop,25637,1,Cash,05-11-2023
63,Gopi,,Female,Kochi,Tablet,17699,2,Cash,15-03-2023
64,Hari,33,Female,Bangalore,Laptop,10785,3,UPI,05-12-2023
65,Arun,,Female,Chennai,Camera,41637,2,Cash,16-02-2023
66,Gopi,,Female,Hyderabad,Camera,49626,5,Card,22-03-2023
